ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_1611,easy,cgp-store-extract,UnreachablePropagation,3,3.683118,11.092991,417160.0,-37.13492958501337,-3.182482447501356,-0.04983611584979952,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1612,easy,memop-opt,UnreachablePropagation,3,3.692518,10.257233,417160.0,-36.97448626989262,-10.476819460363007,-0.04983611584979952,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1609,easy,tail-duplicate,UnreachablePropagation,3,3.85882,11.145218,416824.0,-34.13597093040225,-2.726655115701082,-0.13034061068409875,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1627,easy,phi-elim-edge-splitting,UnreachablePropagation,3,3.928733,17.1582,416184.0,-32.942665239972854,49.753509190558475,-0.28368250560656394,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1590,easy,lsr,UnreachablePropagation,3,4.688603,10.823352,415944.0,-19.972871424994388,-5.535840402568493,-0.3411857162024856,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1591,easy,machine-licm,UnreachablePropagation,3,4.712395,11.044859,414904.0,-19.566779153361114,-3.6025693974354844,-0.5903662954514943,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_0930,easy,block-placement,InstSimplify-after-simplifycfg,3,5.123007,12.230726,409208.0,-12.558273780131557,6.747452439545087,-1.9551091602614479,10.0,-7.0,8.0,0.0,4.0,0.0,3.0,1.0,35.0,6.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1594,easy,block-placement,UnreachablePropagation,3,5.314587,11.562336,409208.0,-9.288302470468611,0.9138715273353304,-1.9551091602614479,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_0097,easy,machine-licm,DataflowConstProp,3,5.320055,10.823813,414904.0,-9.194972252694134,-5.53181688216794,-0.5903662954514943,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_0096,easy,lsr,DataflowConstProp,3,5.351572,10.571707,415944.0,-8.657026299219616,-7.732150144864192,-0.3411857162024856,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_0100,easy,block-placement,DataflowConstProp,3,5.445368,10.893326,409208.0,-7.056075109319082,-4.925120627061719,-1.9551091602614479,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,34.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_0013,easy,lsr,CopyProp,3,5.936764,10.451053,415944.0,1.3312869414332296,-8.7851953301329,-0.3411857162024856,8.0,-9.0,7.0,-1.0,4.0,0.0,2.0,0.0,35.0,6.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.1324396782841823,0.0
