ConfigName,LLVM_Pass,MIR_Pass,BinarySize(Bytes),SerializationTime(s),DeserializationTime(s),CompileTime(s),Status
EXP_000_DEFAULT,baseline,None,612600,0.076643,0.142327,34.6018,Success
EXP_001_DISABLE_ALL,All,None,617448,0.069903,0.156120,57.9980,Success
EXP_ABL_001_disable-binop-extract-shuffle,binop-extract-shuffle,None,612600,0.063870,0.131490,58.2089,Success
EXP_ABL_002_disable-expand-reductions,expand-reductions,None,612632,0.064583,0.131664,67.7673,Success
EXP_ABL_003_disable-interleaved-load-combine,interleaved-load-combine,None,612600,0.064435,0.132806,58.2835,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,loop-idiom-vectorize-all,None,612600,0.064437,0.133525,63.9635,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,loop-idiom-vectorize-bytecmp,None,612600,0.064489,0.134845,66.1376,Success
EXP_ABL_006_disable-promote-alloca-to-vector,promote-alloca-to-vector,None,612600,0.064059,0.133570,63.5211,Success
EXP_ABL_007_disable-replace-with-vec-lib,replace-with-vec-lib,None,612600,0.064334,0.132619,68.3294,Success
EXP_ABL_008_disable-vector-combine,vector-combine,None,612600,0.068378,0.132899,76.2639,Success
EXP_ABL_009_disable-advanced-peeling,advanced-peeling,None,612400,0.064092,0.135443,69.3315,Success
EXP_ABL_010_disable-lftr,lftr,None,612064,0.066776,0.129149,63.3450,Success
EXP_ABL_011_disable-licm-promotion,licm-promotion,None,611920,0.066086,0.133728,65.0829,Success
EXP_ABL_012_disable-loop-level-heuristics,loop-level-heuristics,None,612600,0.066439,0.132795,103.4133,Success
EXP_ABL_013_disable-lsr,lsr,None,611800,0.064885,0.133397,89.2352,Success
EXP_ABL_014_disable-machine-licm,machine-licm,None,612088,0.067267,0.132453,62.9405,Success
EXP_ABL_015_disable-postra-machine-licm,postra-machine-licm,None,612600,0.063150,0.131873,59.5839,Success
EXP_ABL_016_disable-preheader-prot,preheader-prot,None,612600,0.063130,0.132933,59.7036,Success
EXP_ABL_017_disable-block-placement,block-placement,None,609912,0.065875,0.135941,65.8461,Success
EXP_ABL_018_disable-branch-fold,branch-fold,None,613000,0.065606,0.135724,69.1223,Success
EXP_ABL_019_disable-cgp-branch-opts,cgp-branch-opts,None,612600,0.063282,0.131391,69.3190,Success
EXP_ABL_020_disable-cgp-select2branch,cgp-select2branch,None,612600,0.104775,0.241792,66.2436,Success
EXP_ABL_021_disable-chr,chr,None,612600,0.104838,0.233877,62.8952,Success
EXP_ABL_022_disable-early-ifcvt,early-ifcvt,None,612600,0.109210,0.251767,65.9566,Success
EXP_ABL_023_disable-early-taildup,early-taildup,None,612600,0.110398,0.240712,73.1825,Success
EXP_ABL_024_disable-ifcvt-diamond,ifcvt-diamond,None,612600,0.107752,0.260558,67.7328,Success
EXP_ABL_025_disable-ifcvt-forked-diamond,ifcvt-forked-diamond,None,612600,0.112150,0.204745,65.2479,Success
EXP_ABL_026_disable-ifcvt-simple,ifcvt-simple,None,612600,0.063642,0.133312,70.8147,Success
EXP_ABL_027_disable-ifcvt-simple-false,ifcvt-simple-false,None,612600,0.071541,0.131116,67.5644,Success
EXP_ABL_028_disable-ifcvt-triangle,ifcvt-triangle,None,612600,0.067988,0.131242,66.8161,Success
EXP_ABL_029_disable-ifcvt-triangle-false,ifcvt-triangle-false,None,612600,0.064738,0.132512,83.4151,Success
EXP_ABL_030_disable-ifcvt-triangle-rev,ifcvt-triangle-rev,None,612600,0.063649,0.135360,70.4226,Success
EXP_ABL_031_disable-tail-calls,tail-calls,None,612600,0.062914,0.131677,68.2297,Success
EXP_ABL_032_disable-tail-duplicate,tail-duplicate,None,612536,0.128800,0.284975,67.2996,Success
EXP_ABL_033_disable-cgp-ext-ld-promotion,cgp-ext-ld-promotion,None,612616,0.104451,0.247264,65.6750,Success
EXP_ABL_034_disable-cgp-store-extract,cgp-store-extract,None,612600,0.114836,0.272409,75.7786,Success
EXP_ABL_035_disable-memop-opt,memop-opt,None,612600,0.070576,0.159658,70.0787,Success
EXP_ABL_036_disable-separate-const-offset-from-gep,separate-const-offset-from-gep,None,612600,0.115037,0.255849,68.2088,Success
EXP_ABL_037_disable-adv-copy-opt,adv-copy-opt,None,612600,0.063529,0.135474,75.2936,Success
EXP_ABL_038_disable-cgp-delete-phis,cgp-delete-phis,None,612600,0.063945,0.131245,63.3137,Success
EXP_ABL_039_disable-cleanups,cleanups,None,612600,0.063542,0.130923,67.2653,Success
EXP_ABL_040_disable-constant-hoisting,constant-hoisting,None,612584,0.064610,0.132059,72.3599,Success
EXP_ABL_041_disable-copyprop,copyprop,None,612728,0.064024,0.132538,73.2025,Success
EXP_ABL_042_disable-demotion,demotion,None,612600,0.063001,0.133703,71.5041,Success
EXP_ABL_043_disable-gep-const-evaluation,gep-const-evaluation,None,612600,0.064552,0.131874,82.3317,Success
EXP_ABL_044_disable-icp,icp,None,612600,0.065123,0.132783,76.0993,Success
EXP_ABL_045_disable-machine-cse,machine-cse,None,612808,0.064905,0.135714,73.2380,Success
EXP_ABL_046_disable-machine-dce,machine-dce,None,612632,0.063219,0.135244,76.9648,Success
EXP_ABL_047_disable-machine-sink,machine-sink,None,612600,0.065358,0.134979,84.5075,Success
EXP_ABL_048_disable-mergeicmps,mergeicmps,None,612600,0.072714,0.143571,90.0485,Success
EXP_ABL_049_disable-non-allocatable-phys-copy-opt,non-allocatable-phys-copy-opt,None,612600,0.064803,0.132673,105.4754,Success
EXP_ABL_050_disable-phi-elim-edge-splitting,phi-elim-edge-splitting,None,612760,0.116951,0.287852,89.9578,Success
EXP_ABL_051_disable-postra-machine-sink,postra-machine-sink,None,612664,0.051372,0.105258,106.3075,Success
EXP_ABL_052_disable-preinline,preinline,None,612600,0.112549,0.245028,80.0040,Success
EXP_ABL_053_disable-select-optimize,select-optimize,None,612600,0.096274,0.146890,81.5550,Success
EXP_ABL_054_disable-ssc,ssc,None,612664,0.064306,0.132170,85.0621,Success
EXP_ABL_055_disable-type-promotion,type-promotion,None,612600,0.063837,0.131791,78.7294,Success
EXP_ABL_056_disable-auto-upgrade-debug-info,auto-upgrade-debug-info,None,612600,0.094716,0.212062,84.1529,Success
EXP_ABL_057_disable-bitcode-version-upgrade,bitcode-version-upgrade,None,612600,0.095194,0.244335,92.7751,Success
EXP_ABL_058_disable-cfi-fixup,cfi-fixup,None,612600,0.105533,0.250224,86.0131,Success
EXP_ABL_059_disable-cgdata-for-merging,cgdata-for-merging,None,612600,0.106603,0.246300,96.2066,Success
EXP_ABL_060_disable-global-outlining,global-outlining,None,612600,0.107483,0.262501,88.8999,Success
EXP_ABL_061_disable-last-run-tracking,last-run-tracking,None,612600,0.098259,0.253792,86.8194,Success
EXP_ABL_062_disable-layout-fsprofile-loader,layout-fsprofile-loader,None,612600,0.134937,0.295238,78.9029,Success
EXP_ABL_063_disable-nofree-inference,nofree-inference,None,612592,0.118377,0.260318,78.9465,Success
EXP_ABL_064_disable-nounwind-inference,nounwind-inference,None,612848,0.066855,0.148267,100.3502,Success
EXP_ABL_065_disable-ondemand-mds-loading,ondemand-mds-loading,None,612600,0.102261,0.240876,77.9222,Success
EXP_ABL_066_disable-ra-fsprofile-loader,ra-fsprofile-loader,None,612600,0.104285,0.234647,88.6723,Success
EXP_ABL_067_disable-sample-loader-inlining,sample-loader-inlining,None,612600,0.118984,0.275946,91.6522,Success
EXP_ABL_068_disable-thinlto-funcattrs,thinlto-funcattrs,None,612600,0.096116,0.133918,89.4563,Success
EXP_ABL_069_disable-vp,vp,None,612600,0.063925,0.132293,86.9761,Success
EXP_ABL_070_disable-whole-program-visibility,whole-program-visibility,None,612600,0.063248,0.131288,90.1247,Success
EXP_ABL_071_disable-2addr-hack,2addr-hack,None,612600,0.064688,0.132621,117.5019,Success
EXP_ABL_072_disable-cgp,cgp,None,613192,0.108354,0.140250,91.6530,Success
EXP_ABL_073_disable-cgp-gc-opts,cgp-gc-opts,None,612600,0.101712,0.252232,84.3027,Success
EXP_ABL_074_disable-complex-addr-modes,complex-addr-modes,None,612600,0.063961,0.135130,94.3138,Success
EXP_ABL_075_disable-dfa-sched,dfa-sched,None,612600,0.063640,0.131960,99.2459,Success
EXP_ABL_076_disable-i2p-p2i-opt,i2p-p2i-opt,None,612640,0.065303,0.132966,98.3534,Success
EXP_ABL_077_disable-mr-partial-inlining,mr-partial-inlining,None,612600,0.063540,0.132758,82.1352,Success
EXP_ABL_078_disable-partial-inlining,partial-inlining,None,612600,0.066307,0.151574,98.1327,Success
EXP_ABL_079_disable-partial-libcall-inlining,partial-libcall-inlining,None,612600,0.065875,0.134843,118.3628,Success
EXP_ABL_080_disable-peephole,peephole,None,614280,0.064185,0.132499,98.9714,Success
EXP_ABL_081_disable-post-ra,post-ra,None,612600,0.067671,0.133666,102.4737,Success
EXP_ABL_082_disable-spill-fusing,spill-fusing,None,612808,0.064473,0.132666,96.2395,Success
EXP_ABL_083_disable-strictnode-mutation,strictnode-mutation,None,612600,0.064925,0.135262,81.1966,Success
